"","x"
"1",3651
"2",3645
"3",3626
"4",3634
"5",3620.5
"6",3607
"7",3589
"8",3590
"9",3622
"10",3634
"11",3616
"12",3634
"13",3631
"14",3613
"15",3576
"16",3537
"17",3547
"18",3540
"19",3543
"20",3568
"21",3566
"22",3566
"23",3555
"24",3581
"25",3578
"26",3587
"27",3599
"28",3584
"29",3585
"30",3593
"31",3593
"32",3603
"33",3622
"34",3630
"35",3642
"36",3635
"37",3645
"38",3636
"39",3649
"40",3674
"41",3672
"42",3665
"43",3688
"44",3681
"45",3693
"46",3698
"47",3662
"48",3625
"49",3643
"50",3648
"51",3640
"52",3664
"53",3662
"54",3684
"55",3678
"56",3711
"57",3704
"58",3685
"59",3694
"60",3670
"61",3674
"62",3688
"63",3686
"64",3684
"65",3678
"66",3684
"67",3697
"68",3702
"69",3704
"70",3710
"71",3719
"72",3734
"73",3730
"74",3741
"75",3764
"76",3743
"77",3717
"78",3726
"79",3752
"80",3755
"81",3745
"82",3762
"83",3758
"84",3776
"85",3794
"86",3776
"87",3757
"88",3784
"89",3799
"90",3804
"91",3821
"92",3866
"93",3850
"94",3849
"95",3842
"96",3867
"97",3870
"98",3870
"99",3884
"100",3892
"101",3914
"102",3913
"103",3895
"104",3926
"105",3945
"106",3978
"107",3964
"108",3976
"109",3968
"110",3871
"111",3906
"112",3906
"113",3932
"114",3895
"115",3895
"116",3904
"117",3928
"118",3937
"119",3923
"120",3888
"121",3900
"122",3912
"123",3892
"124",3840
"125",3839
"126",3832
"127",3809
"128",3832
"129",3824
"130",3832
"131",3856
"132",3852
"133",3853
"134",3831
"135",3863
"136",3863
"137",3850
"138",3848
"139",3865
"140",3896
"141",3865
"142",3863
"143",3869
"144",3821
"145",3775
"146",3762
"147",3699
"148",3627
"149",3636
"150",3675
"151",3680
"152",3693
"153",3674
"154",3689
"155",3682
"156",3662
"157",3663
"158",3662
"159",3620
"160",3620
"161",3599
"162",3653
"163",3649
"164",3700
"165",3684
"166",3668
"167",3682
"168",3701
"169",3714
"170",3698
"171",3696
"172",3670
"173",3629
"174",3656
"175",3629
"176",3653
"177",3660
"178",3672
"179",3721
"180",3733
"181",3759
"182",3766
"183",3742
"184",3745
"185",3755
"186",3754
"187",3757
"188",3757.5
"189",3758
"190",3761
"191",3759
"192",3772
"193",3768
"194",3756
"195",3749
"196",3753
"197",3773
"198",3815
"199",3790
"200",3811
"201",3777
"202",3742
"203",3708
"204",3725
"205",3699
"206",3637
"207",3686
"208",3670
"209",3667
"210",3625
"211",3647
"212",3649.5
"213",3652
"214",3674
"215",3688
"216",3709
"217",3703
"218",3703
"219",3704
"220",3739
"221",3754
"222",3755
"223",3748
"224",3727
"225",3732
"226",3735
"227",3742
"228",3736
"229",3720
"230",3731
"231",3764
"232",3798
"233",3796
"234",3793
"235",3766
"236",3747
"237",3754
"238",3756
"239",3767
"240",3751
"241",3769
"242",3760
"243",3785
"244",3776
"245",3755
"246",3755
"247",3751
"248",3776
"249",3847
"250",3830
"251",3881
"252",3899
"253",3917
"254",3913
"255",3901
"256",3886
"257",3892.5
"258",3899
"259",3886
"260",3908
"261",3875
"262",3860
"263",3880
"264",3895
"265",3954
"266",3933
"267",3937
"268",3869
"269",3852
"270",3837
"271",3832
"272",3849
"273",3863
"274",3878
"275",3855
"276",3843
"277",3847
"278",3801
"279",3787
"280",3776
"281",3797
"282",3821
"283",3877
"284",3875
"285",3890
"286",3910
"287",3924
"288",3918
"289",3936
"290",3911
"291",3891
"292",3855
